"wstp","woth","wbad","wout","stp.blogs","stp.news","stp.twitter","stp.total","oth.blogs","oth.news","oth.twitter","oth.total","bad.blogs","bad.news","bad.twitter","bad.total","out.blogs","out.news","out.twitter","out.total"
145,6989,10,40672,0.490373892509581,0.426998398963931,0.437852842809365,0.453686058075175,0.41445614297825,0.464279667435996,0.481016722408027,0.45078289361601,0.000101623026708136,2.97038231790814e-06,0.00145819397993311,0.000470488951928906,0.0951057815479326,0.108724903982392,0.0797491638795987,0.0950991889760972
146,6989,10,40645,0.491910993915684,0.425066531198947,0.439078409160285,0.453612925934128,0.413998249273232,0.464633111466457,0.479541307429843,0.450449069826304,0.000113473031242908,0,0.00156696219618909,0.000498307336982314,0.0940043011682319,0.110311902878881,0.0798641966096636,0.095468369348562
146,6989,11,40765,0.491504419093912,0.426705765424837,0.436878727634195,0.45343674517278,0.414519574096776,0.464757511394951,0.481805831676607,0.45140737764756,0.000141860676755727,5.79527047976147e-06,0.00158714380384361,0.00052326521413208,0.0938769719972377,0.108539620815453,0.0798243870112657,0.0946796470409548
147,6989,11,40680,0.491385190237537,0.427261765384267,0.438551047252858,0.454127513788084,0.415276695665771,0.463415559883098,0.479530506931094,0.450465873872447,0.000145579636104828,1.16785252358332e-05,0.00156497689635401,0.00051686750566871,0.0932464528443295,0.109328513995253,0.0804344160005396,0.0949392532155694
146,6989,12,40678,0.491486717042802,0.427019280490508,0.439879524530628,0.454729137205021,0.413274173757742,0.465015882396395,0.479479637099476,0.450081768409743,0.000170345508601117,1.47743222279678e-05,0.00159807560874285,0.000539197484535105,0.0951193350137208,0.107967791977543,0.0791231690810898,0.0946982864185437
146,6989,11,41124,0.492446494882588,0.426652079396428,0.437710179608787,0.453760977173735,0.413200713581218,0.463295491680993,0.479861085651628,0.449982991734374,0.000175161552847588,5.6833520410338e-06,0.00147646488313264,0.000498518130420163,0.0942234414663986,0.110055270598599,0.0810289260467736,0.0957995448822715
146,6989,10,41815,0.490878476848768,0.425387409338814,0.438416397773059,0.45347656019694,0.414158789973351,0.464808657929794,0.478688579405815,0.450009616973814,0.000122314290473018,8.539515183258e-06,0.00150468961596977,0.000483265015768937,0.0948638407728181,0.109809625741515,0.0814438332803906,0.0960595537144232
147,6989,11,41266,0.491261379166875,0.425638953429639,0.440912569603885,0.454346389989897,0.413563097924693,0.46402089677168,0.478155596020373,0.449568664024248,0.000168531485104713,2.8862944308949e-06,0.00143166284010239,0.000484767234009482,0.0950385910767845,0.110351694976405,0.0795661467817275,0.0956361234164918
146,6989,10,40894,0.491782881435015,0.42563571934798,0.43932109213268,0.453495892541604,0.414154781427102,0.465071580439405,0.479466880651665,0.450904920582575,0.000147343318116952,8.50460666194189e-06,0.00138236107271219,0.000459720328596672,0.0939586510992084,0.109295535081502,0.0798970983903923,0.0951788430207662
145,6989,10,41258,0.490751277179199,0.427104451173397,0.43876615867578,0.453869409801742,0.413635503583031,0.463006576544712,0.480253006788393,0.449956649785986,0.00017055705533244,5.75124154926945e-06,0.00149631253936568,0.00050339030929669,0.0954853014462705,0.109891847902666,0.0795445077998207,0.0957067160086915
146,6988,11,41171,0.491149032752397,0.425950906873862,0.439983880690466,0.454369889992624,0.413226818048969,0.464107941257901,0.478340510422599,0.44934619368203,0.000202744155307289,1.47267597005166e-05,0.00159527877413317,0.000550233039875712,0.0954477354531069,0.109932315812416,0.0801469388298847,0.0957650691273167
146,6989,10,41046,0.490227347506289,0.425312250551721,0.438269780935624,0.453205138305667,0.413776176273921,0.463724350847537,0.480319799067868,0.450053770217996,0.000132672447647452,1.46734281823731e-05,0.00154124078277571,0.000506188499082164,0.0959036055064373,0.110954594543832,0.0799161887365183,0.0962654318556043
146,6989,11,41099,0.489756187032452,0.425405447846481,0.438061197803156,0.453081258485793,0.414649739941569,0.464131278734671,0.48020761384897,0.450368735165125,0.000138872512413368,2.90799961614405e-06,0.00157923325040403,0.000512810494544673,0.0954918838187321,0.110466181418464,0.0802491902657538,0.0960811510397843
