"the","to","and","a","of","i","in","it","that","for","yourself","wouldn't","himself","above","aren't","cannot","themselves","itself","further","below","will","said","just","one","like","can","get","time","new","now"
0.0469547974025048,0.0274884408293284,0.0237611778269948,0.023692833116083,0.0196505901417212,0.0178241025051803,0.0163324049018015,0.0113452220113551,0.0110708526646513,0.0106330503135933,0.000177300047147945,0.000131736906540094,0.000141641937107018,0.000128765397370016,0.000125793888199939,0.000128765397370016,0.000126784391256631,0.000118860366803092,9.80598026125509e-05,0.000100040808725936,0.00311711311941109,0.00300617677706153,0.00299627174649461,0.00298339520675761,0.00276845604345535,0.00245446657448385,0.00220188829502728,0.00223160338672805,0.0020027971806321,0.00181658260597392
0.0467667367988104,0.0271221564843231,0.0238999667795109,0.023834712247287,0.0194349748473439,0.0177166054987819,0.0163877859334957,0.0114936960167052,0.0108905859461512,0.0107650204068719,0.000174012085930332,0.000159181510424906,0.000159181510424906,0.000147317050020565,0.000118644604043408,0.000115678488942323,0.000112712373841238,0.000102825323504287,9.19495681336413e-05,8.89834530325561e-05,0.00315199164741988,0.00297204733128737,0.00298391179169171,0.00287021071281678,0.00278913690005379,0.00243023697282248,0.00215142215332047,0.0021445012180846,0.00185184452811086,0.0017440756794381
0.0466656541060151,0.0271999921608208,0.0236811805803932,0.0240339436461003,0.019417646972362,0.0176851883607786,0.0162996134304738,0.0112404031297923,0.0110209061111302,0.0108641225263715,0.000159723276972901,0.000162662969187126,0.000137185636663841,0.000129346457425907,0.000144044918497033,0.000133266047044874,0.000133266047044874,0.00011366809895004,9.2110356045722e-05,9.11304586409803e-05,0.00306315928722263,0.00300926492996183,0.00306609897943685,0.00289167724139283,0.00261828586546989,0.00245758269109224,0.00217047275150292,0.00219986967364517,0.00195489532245974,0.00176773491815407
0.0469072113908885,0.0271573277355856,0.0233897398829622,0.023909577891537,0.0197627558345628,0.0173408057984217,0.0161981523471924,0.011330488251661,0.0110482904755775,0.0109245195211549,0.000156446486390146,0.00014753497767172,0.00014753497767172,0.00013268246314101,0.000123770954422584,0.00011882011624568,0.000128721792599487,0.0001178299486103,0.000101987266444209,9.0105254819641e-05,0.00314180190706287,0.00292891586545602,0.00292099452437298,0.00290812234511303,0.00266058043626786,0.00244175338884873,0.00223975919123108,0.00217440812729595,0.00193874823007535,0.0018030952640282
0.0468963555780276,0.0270033260386958,0.0236930880017697,0.0236930880017697,0.020022397433973,0.0177293268129281,0.0163191180072209,0.0112945084810037,0.0110258972799166,0.0108402395379887,0.000180720036025502,0.000181707577205969,0.000140230847626346,0.000136280682904477,0.000110604612212329,0.00013529314172401,0.000133318059363075,0.000107641988670928,0.000105666906309993,8.88787062420503e-05,0.00319667080117241,0.00301693830632737,0.00296657370612355,0.00297842420028915,0.00270981299920207,0.00237009883312134,0.00217456567938883,0.00215382731459902,0.00180720036025502,0.00178744953664568
0.0469437906145653,0.02717412554055,0.0235701327035713,0.0233081663134682,0.0200199016257556,0.017611374815255,0.016321092595344,0.0113535060486866,0.0109634889231226,0.010836415674192,0.000165195223609819,0.000145645493005106,0.000133915654642279,0.000148577952595813,0.000114365924037567,0.000130983195051572,0.000144668006474871,0.000118275870158509,0.000109478491386389,0.00012023084321898,0.00307321765106077,0.00300088364782333,0.00298035643068839,0.003057577866577,0.00269688533692006,0.00235672002439806,0.00220716458527202,0.00219152480078824,0.00185722440744767,0.00180444013481494
0.0468225808478208,0.0274291557650134,0.0238326975176609,0.0235466046283257,0.0196340910606604,0.0173917413874925,0.0161188213359571,0.0113499621603493,0.0111479573837579,0.0108599314343596,0.000175908465739893,0.000158510925172211,0.000161410515266825,0.000133381144352227,0.000138213794509916,0.00012274931400531,0.000113084013689931,0.000112117483658393,9.47199430907117e-05,8.40881127437951e-05,0.00317505115360192,0.00297497943707358,0.00297207984697897,0.00291988722527592,0.00268695348767529,0.00244048832963313,0.00220562153196943,0.00214086401985639,0.00187023561102579,0.00175908465739893
0.0465172534390301,0.0272965726276521,0.0238381130022538,0.0237089065050128,0.0196967047485816,0.0178042667288412,0.0161741276132743,0.0114022305121629,0.0109456361234165,0.0109252350975363,0.000174865936115645,0.000170980026424186,0.000134063884355328,0.000144750136006839,0.000125320587549545,0.000118520245589493,0.00010977694878371,0.000127263542395275,9.61762648636046e-05,0.000121434677858087,0.00307958343048108,0.00302518069480065,0.00298340716561747,0.00299700784953758,0.0026909924613352,0.00247046708634491,0.00222274034351442,0.00224119841454885,0.00188952358747183,0.00183317789694567
0.0469623511692352,0.0271313746819119,0.0239044726751884,0.0235687882382474,0.0196459070616783,0.0174477154262257,0.0165154774151314,0.0112656090802148,0.0112173729001265,0.0107871849266859,0.000177194130936619,0.000159474717842957,0.000154552658650273,0.000134864421879538,0.00012797353900978,0.00012502030349417,0.00013092677452539,0.000124035891655633,0.000101394419369287,8.5643829952699e-05,0.00312058552816156,0.00293059404332396,0.00289909286449079,0.00296307963399568,0.00274650902951759,0.0024255907701546,0.00221000457751505,0.00225036546289506,0.00187825778792816,0.00181328660658473
0.0469365034215879,0.0268204401879454,0.0236339306572518,0.0238284445825917,0.0197954573667506,0.0174397862106244,0.0162590182618275,0.0113140637477848,0.0112925596957372,0.0107266121441202,0.000175942244026028,0.000154438191978402,0.000146618536688356,0.000146618536688356,0.000129024312285754,0.000147595993599612,0.000134889053753288,0.000107520260238128,0.000103610432593105,9.67682342143153e-05,0.00310831297779316,0.00302816151107019,0.00299101814844247,0.00293139327685587,0.00272514986858092,0.0024739434423882,0.0021650670584314,0.00219341330885781,0.00194807162413263,0.00172325653454382
0.0466344569464714,0.0270094785242377,0.0239630902499882,0.0236413853710591,0.019586726927483,0.0178183309009306,0.0162490388085934,0.0112371121886917,0.0109948527219371,0.0107486700249517,0.000166737284810822,0.000157910016791425,0.000160852439464558,0.000121620137156129,0.000131428212733236,0.000127504982502393,0.00012260094471384,0.000100042370886493,0.0001098504464636,9.21959104248074e-05,0.00299440547369082,0.00304540746669178,0.00300911758705648,0.00301598323996045,0.00270997128195471,0.00242651789777631,0.00215679581940587,0.00224703011471525,0.00187040001255434,0.0018674575898812
